id,name
5,Queen
7,LiSA
8,"Official髭男dism"
9,"あいみょん"
10,"King Gnu"
11,"米津玄師"
12,"菅田将暉"
13,"スキマスイッチ"
14,"バルーン"
15,wacci
16,"一青窈"
17,MONGOL800
18,HY
19,Foorin
20,"尾崎豊"
21,"ゆず"
22,"椎名林檎"
23,"スピッツ"
24,"ONE OK ROCK"
25,"back number"
26,GReeeeN
27,"浦島太郎(桐谷健太)"
28,"レミオロメン"
29,"秦 基博"
30,"コブクロ"
31,"ポルノグラフティ"
32,Mr.Children
33,"Mrs. GREEN APPLE"
34,"ロードオブメジャー"
35,"ORANGE RANGE"
36,Superfly
37,Uru
38,"平井堅"
39,"TK from 凛として時雨"
40,"DREAMS COME TRUE"
41,"BUMP OF CHICKEN"
42,"ヨルシカ"
43,"サスケ"
44,"フレンズ"
45,"緑黄色社会"
46,"Hump Back"
47,"the peggies"
48,"女王蜂"
49,SHISHAMO
50,"Saucy Dog"
51,"フレデリック"
52,WANIMA
53,"サカナクション"
54,RADWIMPS
55,"SUPER BEAVER"
56,"星野 源"
57,AKB48
58,"ハンブレッターズ"
59,"ネクライトーキー"
60,MOSHIMO
61,ORESAMA
62,FINLANDS
63,"SILENT SIREN"
64,"Creepy Nuts"
65,coldrain
66,"ヤバイTシャツ屋さん"
67,[Alexandros]
68,"酸欠少女さユり"
69,miwa
70,KANA-BOON
71,"ゴスペラーズ"
72,"マカロニえんぴつ"
73,DISH//
74,YUI
75,ARASHI
76,"乃木坂46"
77,"西野カナ"
78,"クリープハイプ"
79,"SEKAI NO OWARI"
80,"相対性理論"
81,Aimer
82,"UNISON SQUARE GARDEN"
83,"THE BLUE HEARTS"
84,"いきものがかり"
85,"シド"
86,"ももいろクローバーZ"
87,"ゲスの極み乙女。"
88,"奥華子"
89,"大塚愛"
90,Perfume
91,"MAN WITH A MISSION"
92,flumpool
93,"ASIAN KUNG-FU GENERATION"
94,"倉木麻衣"
95,"ずっと真夜中でいいのに。"
96,reGretGirl
97,KEYTALK
98,"ポルカドットスティングレイ"
99,"川嶋あい"
100,yonige
101,"きゃりーぱみゅぱみゅ"
102,"ストレイテナー"
103,"美波"
104,"9mm Parabellum Bullet"
105,"04 Limited Sazabys"
106,go!go!vanillas
107,tofubeats
108,C&K
109,"Pharrell Williams"
110,"Mark Ronson"
