id,name,artist_id,youtube_video_id
1,"We Will Rock You",5,-tJYN-eG1zk
2,"We are the champions",5,04854XqcfCY
3,"紅蓮華",7,MpYy6wwqxoo
4,Pretender,8,TQ8WlA2GXbk
5,"今夜このまま",9,mH6LoI63buY
6,"白日",10,ony539T074w
7,"飛行艇",10,MSv7NbfbtU8
8,Slumberland,10,C66yySFa48A
9,"アイネクライネ",11,-EKxzId_Sj4
10,"さよならエレジー",12,XSkpuDseenY
11,"全力少年",13,IvDTkTKi5pA
12,"シャルル",14,VUIEJu4ZSUo
13,"別の人の彼女になったよ",15,szFhwZ52NyY
14,"ハナミズキ",16,TngUo1gDNOg
15,"小さな恋のうた",17,u8EkSB9zSpE
16,"366日",18,uA1ik3c1J1Q
17,"パプリカ",19,T0valuAksuo
18,"I LOVE YOU",20,54l_cIKEWIc
19,"栄光の架橋",21,PRJoAPH0ZGo
20,"長く短い祭",22,3LVAmMxICoA
21,"ロビンソン",23,51CH3dPaWXc
22,"完全感覚Dreamer",24,VMD0hp8Po3o
23,"ハッピーエンド",25,hzWDXge2ANM
24,"遥か",26,im2b4ZVwjzY
25,"海の声",27,-zQWavER7to
26,"3月9日",28,PUabpTtCM84
27,"ひまわりの約束",29,rKsQ-3N-Bks
28,"蕾",30,WPH1BLHKOJE
29,"THE DAY",31,4V7dTu33uqk
30,"僕のこと",33,xefpHEg5UIA
31,"大切なもの",34,o3whOgZwjkI
32,"上海ハニー",35,croimFd76NU
33,"愛をこめて花束を",36,gU5oN0KVofU
34,"フリージア",37,olWPDel6ti4
35,"POP STAR",38,oahEB2C3npk
36,unravel,39,GsLsBs4oW30
37,"未来予想図II",40,nGl2la0Q6LA
38,"天体観測",41,j7CDb610Bg0
39,"ラフメイカー",41,VQPs2l5dbEs
40,"藍二乗",42,4MoRLTAJY_0
41,"青いベンチ",43,BkOVkthMkOc
42,"夜にダンス",44,P20NA5_nMfw
43,"NIGHT TOWN",44,p428-KKGtYU
44,"またね",45,XO_xemefjY8
45,LILLY,46,6tHAM8m8XrY
46,"グライダー",47,LPFt3Fe3uPk
47,"火炎",48,gn-YwSmEzNc
48,"熱帯夜",49,l-d26xbK1T0
49,"いつか",50,agQ23NdBROY
50,"飄々とエモーション",51,G1wve96PSLg
51,"ともに",52,qag4ewos4TE
52,"多分、風。",53,8lx0vLTH_yg
53,"前前前世",54,PDSkFeMVNFs
54,"予感",55,XnYwwyXPt70
55,"恋",56,jhOVibLEDhA
56,"Everyday、カチューシャ",57,vEVq_Bx7_KY
57,"銀河高速",58,rQNxCp2YGEg
58,"こんがらがった！",59,G7_cFQrQNz8
60,"猫かぶる",60,YICe8bfRLPc
61,"「ねぇ、神様?」",61,1IVHBmtE-cA
62,"ウィークエンド",62,_NuS3Xn7cu4
63,"ビーサン",63,W9smisn7PUI
64,"助演男優賞",64,JEUOTHxL8Xw
65,MAYDAY,65,PzaW0E7uRwc
66,"ハッピーウェディング前ソング",66,lVIHyj9qVy0
67,"あまりにも素敵な夜だから",67,oArfWcKHmhk
68,"ミカヅキ",68,0q6c0AKDKU4
69,"don't cry anymore",69,4ArjW4pgE78
70,"ないものねだり",70,UgS7vgquBvo
71,VOXers,71,q7Cq2hMY114
72,"ブルーベリー・ナイツ",72,Euf1-3WRino
73,"猫",73,gsT6eKsnT0M
74,GLORIA,74,XNpsy26A5Qg
75,Monster,75,JedKBJVHhiE
76,"ガールズルール",76,U9pHbfVskRI
77,"GO FOR IT!!",77,f9-PYxAKdfY
78,"栞",78,j4XsCJHfplg
79,"Dragon Night",79,gsVGf1T2Hfs
80,"スマトラ警備隊",80,mfDKs619oqE
81,"蝶々結び",81,Du_5wIB26-M
82,"シュガーソングとビターステップ",82,JpCyeo_kNA0
83,"人にやさしく",83,WCHtpnZdGA4
84,"ブルーバード",84,mCd8AOTe1xk
85,"嘘",85,VB2Qxecj--8
86,"行くぜっ!怪盗少女",86,u7z9M0vFPbI
87,"私以外私じゃないの",87,Ae6gQmhaMn4
88,"変わらないもの",88,qzsta6KTB7A
89,"さくらんぼ",89,upODO6OuOOk
90,FLASH,90,q6T0wOMsNrI
91,"Remember Me",91,bCt-jPWd4QE
92,"君に届け",92,ZNu10SawQgc
93,"リライト",93,cr8magEp0Ho
94,"渡月橋 〜君 想ふ〜",94,sG0QEILgqHA
95,"秒針を噛む",95,GJI4Gv7NbmE
96,"ホワイトアウト",96,aM7ZwfhUXTg
97,"MONSTER DANCE",97,N39glrfql0I
98,"テレキャスター・ストライプ",98,3ad4NsEy1tg
99,"旅立ちの日に",99,DlO308doIyU
100,"さよならアイデンティティー",100,R4xgeGinzUY
101,"インベーダーインベーダー",101,jcIOg_m-bp4
102,"シーグラス",102,7Gg1PvKYF4c
103,"ライラック",103,GQ3V50XoLOM
104,"名もなきヒーロー",104,Ad5B0wS5Huc
105,swim,105,447cO8LTq9A
106,"平成ペイン",106,JsnxgOXXwhA
107,"水星",107,NOjmN-ZHlBQ
108,"ドラマ",108,NszvNJe0a84
109,Happy,109,ZbZSe6N_BXs
110,"Uptown Funk",110,OPf0YbXqDm0
111,"君とゲレンデ",49,EEfJrx7255E
112,"どろん",10,gc0_Acq8dV4
113,"The hole",10,BjI0HIn46l0
114,Vinyl,10,RLAw8Ct9k48
115,"愛を伝えたいだとか",9,9qRCARM_LfE
116,"まちがいさがし",12,7940nuwCEYA
117,"あなたに",17,0jFIrBvuuQ0
118,"クリスマスソング",25,JfgOjtq440o
119,"高嶺の花子さん",25,LgLMA1MR7iE
120,"イロトリドリ",21,6GOLuJjV2kU
121,"メリッサ",31,kImVmbgVJow
122,"リボン",41,6m3A1MP_gbU
123,"DAY DREAM BEAT",58,BGqPFJKo7WA
124,"アポロ",31,Vxmxpbn0pwA
125,"青と夏",33,m34DPnRUfMU
126,"WanteD! WanteD!",33,PbISczErpKY
127,"インフェルノ",33,C6SX7B1o-w4
128,"ただ君に晴れ",42,-VKIqrvVOpo
129,"Good-bye days",74,S8cnuIuw5SY
130,"SUMMER SONG",74,JW7y1gzWISA
131,"Melodic Storm",102,MtoAJF-jQjE
132,"デイドリーム",96,W16ICI0MthM
133,"MATSURI BAYASHI",97,VK7y85uNevg
134,"Summer Venus",97,SkGhyHGH3-g
135,"プラネタリウム",89,t6xdg6TKbyQ
136,"心絵",34,quYyKHR7W5o
137,"エレクトリック・パブリック",98,S5st_BGFpLI
138,"拝啓、少年よ",46,d6i4AtCxrDo
139,"ガーネット",88,X_Irpw_LL2o
140,"リトルシンガー",45,72iMwjbNGak
141,"ワタリドリ",67,O_DLtVuiqhI
142,"オドループ",51,PCp2iXA1uLE
